original_harvest_year,chosen_harvest_year,original_faustmann_hurdle,chosen_faustmann_hurdle,squared_error
78,73,0.03343331047968099,0.034054044594669645,3.853108415107491e-07
79,73,0.03332223709538391,0.034054044594669645,5.355422160108465e-07
80,73,0.03321510268154351,0.034054044594669645,7.038235335997361e-07
81,73,0.03311174572767977,0.034054044594669645,8.879271547304057e-07
82,73,0.03301201272809844,0.034054044594669645,1.0858304109498645e-06
83,73,0.03291575769786449,0.034054044594669645,1.2956970594383054e-06
84,101,0.03282284172366878,0.031646665898489156,1.3833895717369777e-06
85,101,0.03273313254667932,0.031646665898489156,1.1804097776295663e-06
86,101,0.032646504174742144,0.031646665898489156,9.996765786605477e-07
87,101,0.032562836521542425,0.031646665898489156,8.393686105458162e-07
88,101,0.03248201507055591,0.031646665898489156,6.978082392726144e-07
89,101,0.03240393056181836,0.031646665898489156,5.734497703270936e-07
90,101,0.03232847869971802,0.031646665898489156,4.6486869591955166e-07
91,101,0.03225555988017582,0.031646665898489156,3.707518809342368e-07
92,101,0.032185078935721735,0.031646665898489156,2.8988859866201115e-07
93,101,0.03211694489710581,0.031646665898489156,2.211623365398812e-07
94,101,0.03205107077019926,0.031646665898489156,1.6354330026286566e-07
95,101,0.03198737332704726,0.031646665898489156,1.1608155187467372e-07
96,101,0.031925772910030986,0.031646665898489156,7.790072389181159e-08
97,101,0.03186619324818325,0.031646665898489156,4.819225726371444e-08
98,101,0.03180856128478123,0.031646665898489156,2.62101161026608e-08
99,101,0.03175280701541113,0.031646665898489156,1.126593670144461e-08
100,101,0.03169886333576503,0.031646665898489156,2.724572458168604e-09
101,101,0.031646665898489156,0.031646665898489156,0.0
102,101,0.03159615297845705,0.031646665898489156,2.5515550901701995e-09
103,101,0.03154726534589004,0.031646665898489156,9.880469857010169e-09
104,101,0.03149994614679263,0.031646665898489156,2.1526685537890817e-08
105,101,0.031454140790211124,0.031646665898489156,3.706591731746768e-08
106,101,0.03140979684186161,0.031646665898489156,5.610694998762245e-08
107,101,0.03136686392370749,0.031646665898489156,7.828914509172131e-08
108,101,0.03132529361909828,0.031646665898489156,1.0328014196088907e-07
109,101,0.03128503938311024,0.031646665898489156,1.3077373662509806e-07
110,101,0.031246056457755775,0.031646665898489156,1.6048792400471153e-07
111,101,0.03120830179175266,0.031646665898489156,1.9216309007488497e-07
112,101,0.031171733964566815,0.031646665898489156,2.2556034185921403e-07
113,101,0.031136313114462345,0.031646665898489156,2.6045996416391667e-07
114,101,0.031102000870311904,0.031646665898489156,2.9665999291932666e-07
115,101,0.031068760286937423,0.031646665898489156,3.3397489586298246e-07
116,101,0.03103655578376751,0.031646665898489156,3.722343520856599e-07
117,101,0.031005353086612477,0.031646665898489156,4.1128212267717207e-07
118,101,0.030975119172371574,0.031646665898489156,4.509750053592417e-07
119,101,0.03094582221649962,0.031646665898489156,4.911818665846469e-07
120,101,0.03091743154307191,0.031646665898489156,5.317827451208069e-07
121,101,0.030889917577296856,0.031646665898489156,5.726680216273645e-07
